id,name,description,invoice_label,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,l10n_pt_tax_code,l10n_pt_tax_type,country_region,exemption_id,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,description@pt
iva23bens,IVA 23% (Bens),IVA23,IVA23,0,23,percent,sale,tax_group_iva_23,,consu,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24331,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24341,
iva23serv,IVA 23% (Serviços),IVA23,IVA23,1,23,percent,sale,tax_group_iva_23,,service,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24333,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24341,
iva23_p_bc,IVA 23% (Bens),IVA23,IVA23,2,23,percent,purchase,tax_group_iva_23,,consu,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24321,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
iva23_p_im,IVA 23% (Imobilizado),IVA23,IVA23,3,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24322,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
iva23_p_sc,IVA 23% (Serviços),IVA23,IVA23,4,23,percent,purchase,tax_group_iva_23,,service,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
iva23_p_s_ic,IVA 23% (Serviços intracomunitários com ISP),IVA23,IVA23,5,23,percent,purchase,tax_group_iva_23,,service,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24333,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_bc_ic,IVA 23% (Bens intracomunitários com ISP),IVA23,IVA23,6,23,percent,purchase,tax_group_iva_23,,consu,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24321,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24331,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_im_ic,IVA 23% (Imobilizados intracomunitários com ISP),IVA23,IVA23,7,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24322,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24332,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_bi_i,IVA 23% (Importação de bens com ISP),IVA23,IVA23,9,23,percent,purchase,tax_group_iva_23,,consu,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24321,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24331,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_im_i_isp,IVA 23% (Importação de imobilizado com ISP),IVA23,IVA23,10,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24322,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24332,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_sp_ex_isp,IVA 23% (Serviços extracomunitários com ISP),IVA23,IVA23,12,23,percent,purchase,tax_group_iva_23,,service,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,100,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,-100,tax,invoice,,chart_24333,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,100,tax,refund,,chart_24342,
,,,,,,,,,,,,,,,-100,tax,refund,,chart_24341,
iva23_p_gasoleo,IVA 23% (Gasóleo) VLPM - Sujeito a TA (10%),IVA23,IVA23,16,23,percent,purchase,tax_group_iva_23,,service,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_624211122,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,50,tax,refund,,chart_624211122,
,,,,,,,,,,,,,,,50,tax,refund,,chart_24342,
iva23_p_gasoleo,"IVA 23% (Gasóleo) VLPM - Sujeito a TA (27,5%)",IVA23,IVA23,16,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_624211222,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,50,tax,refund,,chart_624211222,
,,,,,,,,,,,,,,,50,tax,refund,,chart_24342,
iva23_p_gasoleo,IVA 23% (Gasóleo) VLPM - Sujeito a TA (35%),IVA23,IVA23,16,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_624211322,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,50,tax,refund,,chart_624211322,
,,,,,,,,,,,,,,,50,tax,refund,,chart_24342,
iva23_p_gasoleo,"IVA 23% (Gasóleo) VLPHP - Sujeito a TA (2,5%)",IVA23,IVA23,16,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_624212122,
,,,,,,,,,,,,,,,50,tax,invoice,,chart_24323,
,,,,,,,,,,,,,,,100,base,refund,,,
,,,,,,,,,,,,,,,50,tax,refund,,chart_624212122,
,,,,,,,,,,,,,,,50,tax,refund,,chart_24342,
iva23_p_gasoleo,"IVA 23% (Gasóleo) VLPHP - Sujeito a TA (7,5%)",IVA23,IVA23,16,23,percent,purchase,tax_group_iva_23,,,NOR,IVA,PT,,,,,,,
,,,,,,,,,,,,,,,100,base,invoice,,,
