"id","country_id","name","tax_payable_account_id","tax_receivable_account_id"
"tax_group_iva_23","base.pt","IVA 23%","chart_2436","chart_2437"
"tax_group_iva_13","base.pt","IVA 13%","chart_2436","chart_2437"
"tax_group_iva_6","base.pt","IVA 6%","chart_2436","chart_2437"
"tax_group_iva_0","base.pt","IVA 0%","chart_2436","chart_2437"
"tax_group_iva_16","base.pt","IVA 16%","chart_2436","chart_2437"
"tax_group_iva_9","base.pt","IVA 9%","chart_2436","chart_2437"
"tax_group_iva_4","base.pt","IVA 4%","chart_2436","chart_2437"
"tax_group_iva_22","base.pt","IVA 22%","chart_2436","chart_2437"
"tax_group_iva_12","base.pt","IVA 12%","chart_2436","chart_2437"
"tax_group_iva_5","base.pt","IVA 5%","chart_2436","chart_2437"
"tax_group_ret_0","base.pt","Withholding 0%","chart_2422","chart_2422"
"tax_group_ret_20","base.pt","Withholding 20%","chart_2422","chart_2422"
"tax_group_ret_25","base.pt","Withholding 25%","chart_2422","chart_2422"
"tax_group_ret_35","base.pt","Withholding 35%","chart_2422","chart_2422"
"tax_group_ret_11_5","base.pt","Withholding 11.5%","chart_2422","chart_2422"
"tax_group_ret_16_5","base.pt","Withholding 16.5%","chart_2422","chart_2422"
"tax_group_ret_28","base.pt","Withholding 28%","chart_2422","chart_2422"
