"id","name","description","invoice_label","sequence","amount","amount_type","type_tax_use","tax_group_id","active","tax_scope","l10n_pt_tax_code","l10n_pt_tax_type","country_region","exemption_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@pt"
"iva23bens","IVA 23% (Bens)","IVA23","IVA23","0","23","percent","sale","tax_group_iva_23","","consu","NOR","IVA","PT","","","","","","",""
"","","","","","","","","","","","","","","","100","base","invoice","+dp_iva[3]","",""
"","","","","","","","","","","","","","","","100","tax","invoice","+dp_iva[4]","chart_24331",""
"","","","","","","","","","","","","","","","100","base","refund","+dp_base[40]","",""
"","","","","","","","","","","","","","","","100","tax","refund","+dp_iva[40]","chart_24341",""
"iva23serv","IVA 23% (Serviços)","IVA23","IVA23","1","23","percent","sale","tax_group_iva_23","","service","NOR","IVA","PT","","","","","","",""
"","","","","","","","","","","","","","","","100","base","invoice","+dp_iva[3]","",""
"","","","","","","","","","","","","","","","100","tax","invoice","+dp_iva[4]","chart_24333",""
"","","","","","","","","","","","","","","","100","base","refund","+dp_base[40]","",""
"","","","","","","","","","","","","","","","100","tax","refund","+dp_iva[40]","chart_24341",""
"iva23_p_bc","IVA 23% (Bens)","IVA23","IVA23","2","23","percent","purchase","tax_group_iva_23","","consu","NOR","IVA","PT","","","","","","",""
"","","","","","","","","","","","","","","","100","base","invoice","+supplier_annex_base[22]","",""
"","","","","","","","","","","","","","","","100","tax","invoice","+dp_iva[22]","chart_24321",""
"","","","","","","","","","","","","","","","100","base","refund","+dp_base[41]","",""
"","","","","","","","","","","","","","","","100","tax","refund","+dp_iva[41]","chart_24342",""
"iva23_p_im","IVA 23% (Imobilizado)","IVA23","IVA23","3","23","percent","purchase","tax_group_iva_23","","","NOR","IVA","PT","","","","","","",""
"","","","","","","","","","","","","","","","100","base","invoice","+supplier_annex_base[20]","",""
"","","","","","","","","","","","","","","","100","tax","invoice","+dp_iva[20]","chart_24322",""
"","","","","","","","","","","","","","","","100","base","refund","+dp_base[41]","",""
"","","","","","","","","","","","","","","","100","tax","refund","+dp_iva[41]","chart_24342",""
"iva23_p_sc","IVA 23% (Serviços)","IVA23","IVA23","4","23","percent","purchase","tax_group_iva_23","","service","NOR","IVA","PT","","","","","","",""
"","","","","","","","","","","","","","","","100","base","invoice","+supplier_annex_base[24]","",""
