Código,Nome,Conta Ascendente/Código,Conta Ascendente/Nome,Taxonomia,Tipo/Id.
0,Your Company,FALSO,,0,tko_account_pt_accounting.data_account_type_view
1,MEIOS FINANCEIROS LIQUIDOS,0,Your Company,1,tko_account_pt_accounting.data_account_type_view
11,Caixa,1,MEIOS FINANCEIROS LIQUIDOS,1,tko_account_pt_accounting.data_account_type_view
11001,Caixa despesas,11,Caixa,1,account.data_account_type_liquidity
11002,Caixa recebimentos,11,Caixa,1,account.data_account_type_liquidity
119,Transferência de Caixa,11,Caixa,0,account.data_account_type_current_assets
12,Depósitos à Ordem,1,MEIOS FINANCEIROS LIQUIDOS,0,tko_account_pt_accounting.data_account_type_view
12001,Santander Totta,12,Depósitos à Ordem,2,account.data_account_type_liquidity
12010,Revolut,12,Depósitos à Ordem,2,account.data_account_type_liquidity
12011,Coverflex/Pecunpay,12,Depósitos à Ordem,2,account.data_account_type_liquidity
13,Outros depósitos bancários,1,MEIOS FINANCEIROS LIQUIDOS,3,account.data_account_type_liquidity
14,Outros instrumentos financeiros,1,MEIOS FINANCEIROS LIQUIDOS,0,tko_account_pt_accounting.data_account_type_view
141,Derivados,14,Outros instrumentos financeiros,0,tko_account_pt_accounting.data_account_type_view
1411,Potencialmente favoráveis,141,Derivados,4,account.data_account_type_liquidity
1412,Potencialmente desfavoráveis,141,Derivados,5,account.data_account_type_liquidity
142,Instrumentos financeiros detidos para negociação,14,Outros instrumentos financeiros,0,tko_account_pt_accounting.data_account_type_view
1421,Activos financeiros,142,Instrumentos financeiros detidos para negociação,6,account.data_account_type_liquidity
1422,Passivos financeiros,142,Instrumentos financeiros detidos para negociação,7,account.data_account_type_liquidity
143,Outros activos e passivos financeiros,14,Outros instrumentos financeiros,0,tko_account_pt_accounting.data_account_type_view
1431,Outros activos financeiros,143,Outros activos e passivos financeiros,8,account.data_account_type_liquidity
1432,Outros passivos financeiros,143,Outros activos e passivos financeiros,9,account.data_account_type_liquidity
2,CONTAS A RECEBER E A PAGAR,0,Your Company,0,tko_account_pt_accounting.data_account_type_view
21,Clientes,2,CONTAS A RECEBER E A PAGAR,0,tko_account_pt_accounting.data_account_type_view
211,Clientes c/c,21,Clientes,0,tko_account_pt_accounting.data_account_type_view
2111,Clientes gerais,211,Clientes c/c,0,tko_account_pt_accounting.data_account_type_view
21111,Clientes Nacionais,211,Clientes c/c,10,account.data_account_type_receivable
21112,Clientes Intracomunitários,211,Clientes c/c,10,account.data_account_type_receivable
21113,Clientes Outros Mercados,211,Clientes c/c,10,account.data_account_type_receivable
2113,Clientes - empresas subsidiarias,211,Clientes c/c,12,account.data_account_type_receivable
2114,Clientes - empresas associadas,211,Clientes c/c,13,account.data_account_type_receivable
2115,Clientes - empreendimentos conjuntos,211,Clientes c/c,14,account.data_account_type_receivable
2116,Clientes - outras partes relacionadas,211,Clientes c/c,15,account.data_account_type_receivable
212,Clientes - títulos a receber,21,Clientes,0,tko_account_pt_accounting.data_account_type_view
2121,Clientes gerais,212,Clientes - títulos a receber,16,account.data_account_type_receivable
2123,Clientes - empresas subsidiarias,212,Clientes - títulos a receber,18,account.data_account_type_receivable
2124,Clientes - empresas associadas,212,Clientes - títulos a receber,19,account.data_account_type_receivable
2125,Clientes - empreendimentos conjuntos,212,Clientes - títulos a receber,20,account.data_account_type_receivable
2126,Clientes - outras partes relacionadas,212,Clientes - títulos a receber,21,account.data_account_type_receivable
217,Clientes - Cobrança duvidosa,21,Clientes,0,tko_account_pt_accounting.data_account_type_view
2171,Clientes - Cobrança duvidosa - clientes gerais,217,Clientes - Cobrança duvidosa,10,account.data_account_type_receivable
2173,Clientes - Cobrança duvidosa - empresas subsidiárias,217,Clientes - Cobrança duvidosa,10,account.data_account_type_receivable
2174,Clientes - Cobrança duvidosa - empresas associadas,217,Clientes - Cobrança duvidosa,10,account.data_account_type_receivable
2175,Clientes - Cobrança duvidosa - empreendimentos conjuntos,217,Clientes - Cobrança duvidosa,10,account.data_account_type_receivable
2176,Clientes - Cobrança duvidosa - outras partes relacionadas,217,Clientes - Cobrança duvidosa,10,account.data_account_type_receivable
218,Adiantamentos de clientes,21,Clientes,0,tko_account_pt_accounting.data_account_type_view
2181,Adiantamentos de clientes gerais,218,Adiantamentos de clientes,23,account.data_account_type_receivable
2183,Adiantamentos de clientes - empresas subsidiarias,218,Adiantamentos de clientes,23,account.data_account_type_receivable
2184,Adiantamentos de clientes - empresas associadas,218,Adiantamentos de clientes,23,account.data_account_type_receivable
2185,Adiantamentos de clientes - empreendimentos conjuntos,218,Adiantamentos de clientes,23,account.data_account_type_receivable
2186,Adiantamentos de clientes - outras partes relacionadas,218,Adiantamentos de clientes,23,account.data_account_type_receivable
219,Perdas por imparidade acumuladas,21,Clientes,0,tko_account_pt_accounting.data_account_type_view
2191,PIA - Clientes c/c,219,Perdas por imparidade acumuladas,0,tko_account_pt_accounting.data_account_type_view
21911,PIA - Clientes c/c - clientes gerais,2191,PIA - Clientes c/c,24,account.data_account_type_receivable
21913,PIA - Clientes c/c - empresas subsidiárias,2191,PIA - Clientes c/c,26,account.data_account_type_receivable
21914,PIA - Clientes c/c - empresas associadas,2191,PIA - Clientes c/c,27,account.data_account_type_receivable
21915,PIA - Clientes c/c - empreendimentos conjuntos,2191,PIA - Clientes c/c,28,account.data_account_type_receivable
21916,PIA - Clientes c/c - outras partes relacionadas,2191,PIA - Clientes c/c,29,account.data_account_type_receivable
2192,PIA - Clientes Titulos a Receber,219,Perdas por imparidade acumuladas,0,tko_account_pt_accounting.data_account_type_view
21921,PIA - Tit. - clientes gerais,2192,PIA - Clientes Titulos a Receber,30,account.data_account_type_receivable
21923,PIA - Tit. - empresas subsidiarias,2192,PIA - Clientes Titulos a Receber,32,account.data_account_type_receivable
21924,PIA - Tit. - empresas associadas,2192,PIA - Clientes Titulos a Receber,33,account.data_account_type_receivable
21925,PIA - Tit. - empreendimentos conjuntos,2192,PIA - Clientes Titulos a Receber,34,account.data_account_type_receivable
21926,PIA - Tit. - outras partes relacionadas,2192,PIA - Clientes Titulos a Receber,35,account.data_account_type_receivable
22,Fornecedores,2,CONTAS A RECEBER E A PAGAR,0,tko_account_pt_accounting.data_account_type_view
221,Fornecedores c/c,22,Fornecedores,0,tko_account_pt_accounting.data_account_type_view
2211,Fornecedores gerais,221,Fornecedores c/c,0,tko_account_pt_accounting.data_account_type_view
22111,Fornecedores Nacionais,2211,Fornecedores gerais,37,account.data_account_type_payable
22112,Fornecedores Intracomunitários,2211,Fornecedores gerais,37,account.data_account_type_payable
22113,Fornecedores Outros Mercados,2211,Fornecedores gerais,37,account.data_account_type_payable
2213,Fornecedores - empresas subsidiárias,221,Fornecedores c/c,39,account.data_account_type_payable
2214,Fornecedores - empresas associadas,221,Fornecedores c/c,40,account.data_account_type_payable
2215,Fornecedores - empreendimentos conjuntos,221,Fornecedores c/c,41,account.data_account_type_payable
2216,Fornecedores - outras partes relacionadas,221,Fornecedores c/c,42,account.data_account_type_payable
222,Fornecedores - títulos a pagar,22,Fornecedores,0,tko_account_pt_accounting.data_account_type_view
2221,Fornecedores gerais,222,Fornecedores - títulos a pagar,43,account.data_account_type_payable
2223,Fornecedores - empresas subsidiárias,222,Fornecedores - títulos a pagar,45,account.data_account_type_payable
2224,Fornecedores - empresas associadas,222,Fornecedores - títulos a pagar,46,account.data_account_type_payable
2225,Fornecedores - empreendimentos conjuntos,222,Fornecedores - títulos a pagar,47,account.data_account_type_payable
2226,Fornecedores - outras partes relacionadas,222,Fornecedores - títulos a pagar,48,account.data_account_type_payable
225,Facturas em recepção e conferencia,22,Fornecedores,50,account.data_account_type_payable
228,Adiantamentos a fornecedores,22,Fornecedores,0,tko_account_pt_accounting.data_account_type_view
2281,Adiantamentos a fornecedores gerais,228,Adiantamentos a fornecedores,51,account.data_account_type_payable
2283,Adiantamentos a fornecedores - empresas subsidiárias,228,Adiantamentos a fornecedores,51,account.data_account_type_payable
2284,Adiantamentos a fornecedores - empresas associadas,228,Adiantamentos a fornecedores,51,account.data_account_type_payable
2285,Adiantamentos a fornecedores - empreendimentos conjuntos,228,Adiantamentos a fornecedores,51,account.data_account_type_payable
2286,Adiantamentos a fornecedores - outras partes relacionadas,228,Adiantamentos a fornecedores,51,account.data_account_type_payable
229,Perdas por imparidade acumuladas,22,Fornecedores,52,account.data_account_type_payable
23,Pessoal,2,CONTAS A RECEBER E A PAGAR,0,tko_account_pt_accounting.data_account_type_view
231,Remunerações a pagar,23,Pessoal,0,tko_account_pt_accounting.data_account_type_view
2311,Aos órgãos sociais,231,Remunerações a pagar,53,account.data_account_type_current_liabilities
2312,Ao pessoal,231,Remunerações a pagar,54,account.data_account_type_current_liabilities
232,Adiantamentos,23,Pessoal,0,tko_account_pt_accounting.data_account_type_view
2321,Aos órgãos sociais,232,Adiantamentos,55,account.data_account_type_current_liabilities
2322,Ao pessoal,232,Adiantamentos,56,account.data_account_type_current_liabilities
237,Cauções,23,Pessoal,0,tko_account_pt_accounting.data_account_type_view
2371,De órgãos sociais,237,Cauções,0,tko_account_pt_accounting.data_account_type_view
23711,De órgãos sociais - corrente,2371,De órgãos sociais,57,account.data_account_type_current_liabilities
23712,De órgãos sociais - não corrente,2371,De órgãos sociais,58,account.data_account_type_current_liabilities
2372,Do pessoal,237,Cauções,0,tko_account_pt_accounting.data_account_type_view
23721,Do pessoal - corrente,2372,Do pessoal,63,account.data_account_type_current_liabilities
23722,Do pessoal - não corrente,2372,Do pessoal,64,account.data_account_type_current_liabilities
238,Outras operações,23,Pessoal,0,tko_account_pt_accounting.data_account_type_view
2381,Com os órgãos sociais,238,Outras operações,0,tko_account_pt_accounting.data_account_type_view
23811,Com os órgãos sociais - corrente,2381,Com os órgãos sociais,61,account.data_account_type_current_liabilities
23812,Com os órgãos sociais - não corrente,2381,Com os órgãos sociais,62,account.data_account_type_current_liabilities
2382,Com o pessoal,238,Outras operações,0,tko_account_pt_accounting.data_account_type_view
23821,Com o pessoal - corrente,2382,Com o pessoal,63,account.data_account_type_current_liabilities
23822,Com o pessoal - não corrente,2382,Com o pessoal,64,account.data_account_type_current_liabilities
239,Perdas por imparidade acumuladas,23,Pessoal,0,tko_account_pt_accounting.data_account_type_view
24,Estado e outras entidades públicas,2,CONTAS A RECEBER E A PAGAR,0,tko_account_pt_accounting.data_account_type_view
241,Imposto sobre o rendimento,24,Estado e outras entidades públicas,0,tko_account_pt_accounting.data_account_type_view
2411,IR - Imposto corrente,241,Imposto sobre o rendimento,71,account.data_account_type_current_liabilities
2412,IR - Pagamentos por conta,241,Imposto sobre o rendimento,0,tko_account_pt_accounting.data_account_type_view
24121,IR - Pagamento por conta,2412,IR - Pagamentos por conta,71,account.data_account_type_current_assets
24122,IR - Pagamento especial por conta,2412,IR - Pagamentos por conta,71,account.data_account_type_current_assets
24123,IR - Pagamento adicional por conta,2412,IR - Pagamentos por conta,71,account.data_account_type_current_assets
2413,Retenção fonte terceiros,241,Imposto sobre o rendimento,0,tko_account_pt_accounting.data_account_type_view
24131,Rendimentos de capitais,2413,Retenção fonte terceiros,71,account.data_account_type_current_assets
24132,Rendimentos prediais,2413,Retenção fonte terceiros,71,account.data_account_type_current_assets
2414,IRC estimado,241,Imposto sobre o rendimento,71,account.data_account_type_current_liabilities
2415,IRC apuramento,241,Imposto sobre o rendimento,71,account.data_account_type_current_liabilities
2416,IRC a pagar,241,Imposto sobre o rendimento,71,account.data_account_type_current_assets
2417,IRC a recuperar,241,Imposto sobre o rendimento,71,account.data_account_type_current_liabilities
242,Retenção de impostos sobre rendimentos,24,Estado e outras entidades públicas,0,tko_account_pt_accounting.data_account_type_view
2421,Retenção trab. dependentes - categoria A,242,Retenção de impostos sobre rendimentos,72,account.data_account_type_current_liabilities
2422,Retenção trab. independentes - categoria B,242,Retenção de impostos sobre rendimentos,72,account.data_account_type_current_liabilities
2423,Retenção rendimentos de capitais - categoria E,242,Retenção de impostos sobre rendimentos,72,account.data_account_type_current_liabilities
2424,Retenção rendimentos prediais - categoria F,242,Retenção de impostos sobre rendimentos,72,account.data_account_type_current_liabilities
2425,Retenção outros redimentos - categoria R,242,Retenção de impostos sobre rendimentos,72,account.data_account_type_current_liabilities
243,Imposto sobre valor acrescrescentado (IVA),24,Estado e outras entidades públicas,0,tko_account_pt_accounting.data_account_type_view
2432,IVA - Dedutível,243,Imposto sobre valor acrescrescentado (IVA),24,tko_account_pt_accounting.data_account_type_view
24321,IVA - Dedutível - Existências,243,Imposto sobre valor acrescrescentado (IVA),74,account.data_account_type_current_assets
24322,IVA - Dedutível - Ativos,2432,IVA - Dedutível,74,account.data_account_type_current_assets
24323,IVA - Dedutível - Outros bens e serviços,2432,IVA - Dedutível,74,account.data_account_type_current_assets
2433,IVA - Liquidado,243,Imposto sobre valor acrescrescentado (IVA),0,tko_account_pt_accounting.data_account_type_view
24331,IVA - Liquidado - Operações gerais,243,Imposto sobre valor acrescrescentado (IVA),75,account.data_account_type_current_liabilities
24332,IVA - Liquidado - Autoconsumos,2433,IVA - Liquidado,75,account.data_account_type_current_liabilities
24333,IVA - Liquidado - Aquisições intracomunitárias,2433,IVA - Liquidado,75,account.data_account_type_current_liabilities
24334,IVA - Liquidado - Autoliquidação,2433,IVA - Liquidado,75,account.data_account_type_current_liabilities
2434,IVA - Regularizações,243,Imposto sobre valor acrescrescentado (IVA),0,tko_account_pt_accounting.data_account_type_view
