Categoria de Artigo;Nome;Referência Interna;Artigos já existem em Odoo?;Pode ser Vendido;Pode ser Comprado;Pode ser Gasto;Favorito;Impostos a Cliente;Impostos de Fornecedor;Preço de Vendas;Custo;Unidade de medida;Purchase UoM;Tipo de Artigo;Conta de Gastos;Conta de rendimentos;Política de Controlo
Materiais de IT;Access Point Wireless Antenna;SERV172;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Acessorios de Rede;SERV173;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Auscultadores/Headphones;SERV174;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Bateria Para Portátil;SERV175;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Cabo Rede;SERV176;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Cabos Diversos de Multimedia;SERV177;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Caixa PC;SERV178;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Caneta Touch;SERV179;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Capa Para Tablet;SERV180;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Capa Para Telemovel;SERV181;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Carregador Para Portátil;SERV182;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Carregador Para Telemóvel/Tablet;SERV183;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Cartão de Memória;SERV184;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Colunas Computador;SERV223;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Disco Rígido;SERV185;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Fita Impressora Matricial;SERV186;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Impressora Laser Multifuncoes;SERV190;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Impressora Termica;SERV191;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Leitor Biometrico de Secretaria;SERV192;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Mac Mini;SERV188;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Mac Studio;SERV189;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Monitor PC;SERV193;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;PC Desktop;SERV195;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;PC Portátil;SERV196;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Pasta Para  Portatil;SERV194;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Pelicula de Vidro Para Telemovel/Tablet;SERV197;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Portátil Macbook;SERV198;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Portátil Macbook Air;SERV199;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Portátil Macbook Pro;SERV200;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Rato Apple Computador;SERV201;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Rato Computador;SERV202;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Router;SERV203;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Smarphone Android;SERV204;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Smartphone Iphone;SERV205;sim;0;1;1;Normal;;CIMOMN-IVA23;0;0;Unidades;Unidades;Serviço;435 Equipamento administrativo;;Nas quantidades recebidas
Materiais de IT;Suporte Monitor Mesa Standard;SERV207;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Suporte Para Tablet;SERV208;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Suporte Para Telemóvel;SERV209;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
Materiais de IT;Suporte de Parede TV;SERV206;sim;0;1;1;Normal;;COBSMN-IVA23;0;0;Unidades;Unidades;Serviço;62311 Ferramentas e utensílios de desgaste rápido PT;;Nas quantidades recebidas
